"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","OP_CARRIER","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEP_TIME","DEP_DELAY","DEP_DEL15","TAXI_OUT","TAXI_IN","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15",
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2155",10397,1039707,"ATL","Atlanta, GA","GA",10721,1072102,"BOS","Boston, MA","MA","1653",0.00,0.00,11.00,24.00,"1918",-2.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2164",13487,1348702,"MSP","Minneapolis, MN","MN",10721,1072102,"BOS","Boston, MA","MA","0648",-2.00,0.00,25.00,11.00,"1027",-18.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2167",10397,1039707,"ATL","Atlanta, GA","GA",10721,1072102,"BOS","Boston, MA","MA","1245",5.00,0.00,12.00,16.00,"1510",-1.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2168",10721,1072102,"BOS","Boston, MA","MA",13487,1348702,"MSP","Minneapolis, MN","MN","1638",126.00,1.00,18.00,10.00,"1902",132.00,132.00,1.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2185",10721,1072102,"BOS","Boston, MA","MA",13487,1348702,"MSP","Minneapolis, MN","MN","1659",30.00,1.00,22.00,4.00,"1927",29.00,29.00,1.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2201",13204,1320402,"MCO","Orlando, FL","FL",10721,1072102,"BOS","Boston, MA","MA","0713",13.00,0.00,15.00,9.00,"0954",3.00,3.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2246",13204,1320402,"MCO","Orlando, FL","FL",10721,1072102,"BOS","Boston, MA","MA","1323",37.00,1.00,14.00,4.00,"1600",21.00,21.00,1.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2286",10721,1072102,"BOS","Boston, MA","MA",10397,1039707,"ATL","Atlanta, GA","GA","0715",0.00,0.00,15.00,15.00,"1020",7.00,7.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2287",10721,1072102,"BOS","Boston, MA","MA",14027,1402702,"PBI","West Palm Beach/Palm Beach, FL","FL","0714",-6.00,0.00,17.00,3.00,"1032",-23.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2304",10721,1072102,"BOS","Boston, MA","MA",10397,1039707,"ATL","Atlanta, GA","GA","0847",32.00,1.00,10.00,9.00,"1138",18.00,18.00,1.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2324",10721,1072102,"BOS","Boston, MA","MA",10397,1039707,"ATL","Atlanta, GA","GA","0542",-3.00,0.00,19.00,10.00,"0846",-13.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2333",13487,1348702,"MSP","Minneapolis, MN","MN",10721,1072102,"BOS","Boston, MA","MA","1831",36.00,1.00,36.00,10.00,"2227",47.00,47.00,1.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2351",13487,1348702,"MSP","Minneapolis, MN","MN",10721,1072102,"BOS","Boston, MA","MA","2037",2.00,0.00,60.00,7.00,"0049",15.00,15.00,1.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2362",10721,1072102,"BOS","Boston, MA","MA",10397,1039707,"ATL","Atlanta, GA","GA","1229",2.00,0.00,12.00,8.00,"1528",-2.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2371",10721,1072102,"BOS","Boston, MA","MA",14635,1463502,"RSW","Fort Myers, FL","FL","1526",-2.00,0.00,20.00,5.00,"1906",-13.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2378",10721,1072102,"BOS","Boston, MA","MA",10397,1039707,"ATL","Atlanta, GA","GA","1340",5.00,0.00,12.00,7.00,"1632",-11.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2383",10721,1072102,"BOS","Boston, MA","MA",10397,1039707,"ATL","Atlanta, GA","GA","0929",-1.00,0.00,12.00,8.00,"1223",-8.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2385",10721,1072102,"BOS","Boston, MA","MA",14492,1449202,"RDU","Raleigh/Durham, NC","NC","0607",2.00,0.00,17.00,4.00,"0808",-18.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2404",10721,1072102,"BOS","Boston, MA","MA",10397,1039707,"ATL","Atlanta, GA","GA","1102",2.00,0.00,41.00,8.00,"1423",27.00,27.00,1.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2425",14492,1449202,"RDU","Raleigh/Durham, NC","NC",10721,1072102,"BOS","Boston, MA","MA","1852",-8.00,0.00,13.00,9.00,"2032",-31.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2435",10397,1039707,"ATL","Atlanta, GA","GA",10721,1072102,"BOS","Boston, MA","MA","2022",7.00,0.00,23.00,10.00,"2246",-4.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2450",13487,1348702,"MSP","Minneapolis, MN","MN",10721,1072102,"BOS","Boston, MA","MA","1325",0.00,0.00,29.00,6.00,"1704",-14.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2454",10397,1039707,"ATL","Atlanta, GA","GA",10721,1072102,"BOS","Boston, MA","MA","2220",0.00,0.00,11.00,8.00,"0029",-21.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2462",13487,1348702,"MSP","Minneapolis, MN","MN",10721,1072102,"BOS","Boston, MA","MA","1529",-1.00,0.00,16.00,9.00,"1907",-15.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2471",13487,1348702,"MSP","Minneapolis, MN","MN",10721,1072102,"BOS","Boston, MA","MA","1004",9.00,0.00,26.00,12.00,"1346",4.00,4.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2473",10397,1039707,"ATL","Atlanta, GA","GA",10721,1072102,"BOS","Boston, MA","MA","1837",-2.00,0.00,26.00,11.00,"2107",-3.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2477",10721,1072102,"BOS","Boston, MA","MA",14869,1486903,"SLC","Salt Lake City, UT","UT","1725",-7.00,0.00,21.00,5.00,"2059",-4.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2493",10721,1072102,"BOS","Boston, MA","MA",10397,1039707,"ATL","Atlanta, GA","GA","1941",41.00,1.00,18.00,9.00,"2235",34.00,34.00,1.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2497",14771,1477104,"SFO","San Francisco, CA","CA",10721,1072102,"BOS","Boston, MA","MA","1216",17.00,1.00,11.00,14.00,"2039",-8.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2542",14869,1486903,"SLC","Salt Lake City, UT","UT",10721,1072102,"BOS","Boston, MA","MA","1713",-6.00,0.00,18.00,14.00,"2334",-15.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2557",10721,1072102,"BOS","Boston, MA","MA",15304,1530402,"TPA","Tampa, FL","FL","0717",-3.00,0.00,16.00,2.00,"1024",-33.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2565",14027,1402702,"PBI","West Palm Beach/Palm Beach, FL","FL",10721,1072102,"BOS","Boston, MA","MA","1122",-13.00,0.00,29.00,9.00,"1427",-16.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2572",10721,1072102,"BOS","Boston, MA","MA",10397,1039707,"ATL","Atlanta, GA","GA","1610",0.00,0.00,16.00,8.00,"1907",-3.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2584",14747,1474703,"SEA","Seattle, WA","WA",10721,1072102,"BOS","Boston, MA","MA","0957",-3.00,0.00,31.00,8.00,"1813",-9.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2590",10721,1072102,"BOS","Boston, MA","MA",10397,1039707,"ATL","Atlanta, GA","GA","1716",-1.00,0.00,15.00,8.00,"2010",-17.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2596",10721,1072102,"BOS","Boston, MA","MA",14771,1477104,"SFO","San Francisco, CA","CA","0651",-8.00,0.00,18.00,13.00,"1101",0.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2608",14635,1463502,"RSW","Fort Myers, FL","FL",10721,1072102,"BOS","Boston, MA","MA","1954",-5.00,0.00,13.00,8.00,"2248",-21.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2609",10721,1072102,"BOS","Boston, MA","MA",10397,1039707,"ATL","Atlanta, GA","GA","1503",19.00,1.00,21.00,10.00,"1802",21.00,21.00,1.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2610",10721,1072102,"BOS","Boston, MA","MA",14747,1474703,"SEA","Seattle, WA","WA","0633",3.00,0.00,24.00,12.00,"1015",1.00,1.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2767",10721,1072102,"BOS","Boston, MA","MA",14869,1486903,"SLC","Salt Lake City, UT","UT","0600",-5.00,0.00,19.00,31.00,"1015",13.00,13.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2768",14869,1486903,"SLC","Salt Lake City, UT","UT",10721,1072102,"BOS","Boston, MA","MA","1029",31.00,1.00,14.00,6.00,"1631",-3.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2803",10721,1072102,"BOS","Boston, MA","MA",15304,1530402,"TPA","Tampa, FL","FL","1537",-1.00,0.00,14.00,4.00,"1848",-26.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2836",15304,1530402,"TPA","Tampa, FL","FL",10721,1072102,"BOS","Boston, MA","MA","1136",-7.00,0.00,9.00,9.00,"1417",-31.00,0.00,0.00,
2019,1,2,11,1,2019-02-11,"DL",19790,"DL","2857",15304,1530402,"TPA","Tampa, FL","FL",10721,1072102,"BOS","Boston, MA","MA","1952",-7.00,0.00,11.00,12.00,"2244",-11.00,0.00,0.00,
2019,1,2,12,2,2019-02-12,"DL",19790,"DL","324",12953,1295304,"LGA","New York, NY","NY",10721,1072102,"BOS","Boston, MA","MA","1000",0.00,0.00,52.00,8.00,"1134",14.00,14.00,0.00,
2019,1,2,12,2,2019-02-12,"DL",19790,"DL","331",10721,1072102,"BOS","Boston, MA","MA",11193,1119302,"CVG","Cincinnati, OH","KY","",,,,,"",,,,
2019,1,2,12,2,2019-02-12,"DL",19790,"DL","338",10721,1072102,"BOS","Boston, MA","MA",11697,1169706,"FLL","Fort Lauderdale, FL","FL","1144",-6.00,0.00,13.00,10.00,"1512",-14.00,0.00,0.00,
